time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20191226:1010,3503000.0,0.0,53.28,1.14,23.82,1.33,1.79,0.0
20191226:1110,2519000.0,0.0,41.54,0.89,23.19,1.11,1.86,0.0
20191226:1210,3128000.0,0.0,48.76,1.04,19.79,0.78,1.79,0.0
20191226:1310,1794000.0,0.0,32.51,0.69,14.0,0.65,1.72,0.0
20191226:1410,1239000.0,0.0,25.29,0.54,6.34,0.49,1.93,0.0
20191226:1510,0.0,0.0,0.0,0.0,0.0,-0.05,2.07,0.0
20191226:1610,0.0,0.0,0.0,0.0,0.0,-0.14,2.0,0.0
20191226:1710,0.0,0.0,0.0,0.0,0.0,-0.28,1.93,0.0
20191226:1810,0.0,0.0,0.0,0.0,0.0,-0.36,1.93,0.0
20191226:1910,0.0,0.0,0.0,0.0,0.0,-0.48,2.07,0.0
20191226:2010,0.0,0.0,0.0,0.0,0.0,-0.81,1.93,0.0
20191226:2110,0.0,0.0,0.0,0.0,0.0,-1.32,1.86,0.0
20191226:2210,0.0,0.0,0.0,0.0,0.0,-1.44,2.0,0.0
20191226:2310,0.0,0.0,0.0,0.0,0.0,-1.68,2.0,0.0
20191227:0010,0.0,0.0,0.0,0.0,0.0,-1.96,1.86,0.0
20191227:0110,0.0,0.0,0.0,0.0,0.0,-2.4,1.79,0.0
20191227:0210,0.0,0.0,0.0,0.0,0.0,-2.68,1.79,0.0
20191227:0310,0.0,0.0,0.0,0.0,0.0,-3.09,1.86,0.0
20191227:0410,0.0,0.0,0.0,0.0,0.0,-3.81,1.72,0.0
20191227:0510,0.0,0.0,0.0,0.0,0.0,-3.81,1.59,0.0
20191227:0610,0.0,0.0,0.0,0.0,0.0,-4.06,1.52,0.0
20191227:0710,2426000.0,0.0,39.73,0.85,9.85,-3.48,1.72,0.0
20191227:0810,18591000.0,72.11,141.96,3.2,16.78,-1.99,2.14,0.0
20191227:0910,35592000.0,188.11,208.42,5.11,21.6,-0.98,2.69,0.0
20191227:1010,25411000.0,85.62,202.15,4.66,23.85,-0.53,2.55,0.0
20191227:1110,17415000.0,33.83,169.62,3.78,23.24,0.0,2.55,0.0
20191227:1210,2832000.0,0.0,45.15,0.96,19.86,0.28,2.55,0.0
20191227:1310,6365000.0,4.92,80.35,1.73,14.08,0.11,2.48,0.0
20191227:1410,1110000.0,0.0,23.48,0.5,6.44,-0.25,2.14,0.0
20191227:1510,0.0,0.0,0.0,0.0,0.0,-0.95,1.93,0.0
20191227:1610,0.0,0.0,0.0,0.0,0.0,-2.02,1.79,0.0
20191227:1710,0.0,0.0,0.0,0.0,0.0,-2.73,1.79,0.0
20191227:1810,0.0,0.0,0.0,0.0,0.0,-3.83,1.79,0.0
20191227:1910,0.0,0.0,0.0,0.0,0.0,-4.96,1.79,0.0
20191227:2010,0.0,0.0,0.0,0.0,0.0,-5.31,1.72,0.0
20191227:2110,0.0,0.0,0.0,0.0,0.0,-4.97,1.59,0.0
20191227:2210,0.0,0.0,0.0,0.0,0.0,-5.25,1.59,0.0
20191227:2310,0.0,0.0,0.0,0.0,0.0,-5.46,1.59,0.0
20191228:0010,0.0,0.0,0.0,0.0,0.0,-5.36,1.52,0.0
20191228:0110,0.0,0.0,0.0,0.0,0.0,-5.48,1.59,0.0
20191228:0210,0.0,0.0,0.0,0.0,0.0,-5.01,1.38,0.0
20191228:0310,0.0,0.0,0.0,0.0,0.0,-5.04,1.38,0.0
20191228:0410,0.0,0.0,0.0,0.0,0.0,-4.91,1.31,0.0
20191228:0510,0.0,0.0,0.0,0.0,0.0,-5.77,1.59,0.0
20191228:0610,0.0,0.0,0.0,0.0,0.0,-5.58,1.52,0.0
20191228:0710,10659000.0,49.0,79.72,1.72,9.83,-6.08,2.07,0.0
20191228:0810,17058000.0,59.21,136.85,3.06,16.77,-4.25,2.21,0.0
20191228:0910,23640000.0,83.79,182.99,4.2,21.62,-2.65,2.07,0.0
20191228:1010,8964000.0,0.0,112.88,2.41,23.89,-1.79,1.93,0.0
20191228:1110,2626000.0,0.0,42.44,0.91,23.3,-1.32,2.0,0.0
